time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
58.5,350,1,348,0.0247928,-1.05313,0.129388,0.878114,0.89429,0.876455,-1.36625,0.540791,6.24277,3.22344,4.69441,4.15192
58.5,350,2,348,0.0334528,-1.30287,0.129367,1.0877,1.14398,1.11971,-1.32832,0.560086,5.56891,2.65119,4.30723,3.80667
2.5,355,0,352,0.0342338,-1.43322,0.13016,1.24104,1.27049,1.27417,-1.35029,0.511785,7.46369,3.91785,6.12997,6.25955
2.5,355,1,352,0.0381175,-1.09714,0.129194,0.923765,0.900944,0.926243,-1.3452,0.492024,6.02325,3.22771,4.76343,4.21485
2.5,355,2,352,0.0488463,-1.26211,0.129173,1.10754,1.05438,1.09509,-1.32713,0.547979,5.78986,3.0022,4.38632,3.87916
5,360,0,357,0.0341648,-1.41858,0.129965,1.29037,1.28984,1.28734,-1.35664,0.527757,7.80936,4.08054,6.20118,6.36363
5,360,1,357,0.0273511,-1.06135,0.129001,0.901066,0.917919,0.876237,-1.41097,0.499895,6.15635,3.40471,4.83347,4.28203
5,360,2,357,0.0281394,-1.29471,0.128979,1.11056,1.13127,1.1199,-1.28949,0.556481,5.45974,2.57881,4.451,3.93842
7.5,365,0,362,0.0281775,-1.46611,0.12977,1.30606,1.30487,1.30504,-1.37888,0.522496,7.62311,3.99552,6.26979,6.4369
7.5,365,1,362,0.0262043,-1.09443,0.128807,0.940266,0.903852,0.94798,-1.36893,0.519386,6.09571,3.02269,4.90063,4.32956
7.5,365,2,362,0.0248426,-1.32909,0.128786,1.14057,1.15272,1.14851,-1.37654,0.521991,5.93318,2.63092,4.52008,3.99552
10,370,0,367,0.033838,-1.41734,0.129576,1.30089,1.29045,1.28599,-1.37365,0.505096,7.43155,4.0272,6.32632,6.55184
10,370,1,367,0.031866,-1.08218,0.128615,0.915311,0.928183,0.914505,-1.32613,0.53091,5.8393,3.34732,4.96013,4.40442
10,370,2,367,0.0325905,-1.32097,0.128593,1.14895,1.1383,1.13757,-1.37114,0.510817,5.7499,2.92558,4.58676,4.08178
12.5,375,0,372,0.0529768,-1.40339,0.129381,1.30402,1.24247,1.25453,-1.36679,0.522153,7.36376,4.38969,6.38825,6.67126
12.5,375,1,372,0.0367458,-1.07488,0.128422,0.926392,0.887764,0.902688,-1.3738,0.53014,5.75336,3.27993,5.01503,4.47099
12.5,375,2,372,0.0495471,-1.26112,0.128401,1.11406,1.0865,1.09167,-1.30932,0.562841,5.41175,2.9758,4.64452,4.17662
15,380,0,377,0.0408631,-1.49394,0.129187,1.3387,1.37007,1.36031,-1.31391,0.510569,7.67992,4.01591,6.44183,6.74986
15,380,1,377,0.0287776,-1.09062,0.12823,0.912819,0.927709,0.924814,-1.35697,0.503119,5.8532,3.24292,5.0656,4.53972
15,380,2,377,0.0344101,-1.33036,0.128208,1.16784,1.1309,1.13664,-1.35866,0.489856,5.65276,2.96365,4.71504,4.25075
17.5,385,0,382,0.0360683,-1.47282,0.128994,1.36656,1.33463,1.34309,-1.37523,0.505901,7.62961,4.07388,6.50068,6.81009
17.5,385,1,382,0.037839,-1.09391,0.128038,0.956755,0.921077,0.9199,-1.38167,0.531615,5.81554,3.09699,5.11478,4.57508
17.5,385,2,382,0.0289001,-1.37134,0.128016,1.18662,1.19104,1.19054,-1.33946,0.506803,5.79209,3.01149,4.77098,4.31858
20,390,0,387,0.0290645,-1.51366,0.1288,1.37318,1.37791,1.37246,-1.34228,0.491959,7.64153,3.99698,6.54896,6.8841
20,390,1,387,0.0217041,-1.15303,0.127846,0.994014,0.985364,0.983268,-1.36019,0.499178,6.27815,3.18177,5.16634,4.61484
20,390,2,387,0.0339612,-1.34669,0.127824,1.1766,1.15599,1.15877,-1.39178,0.488875,5.80593,2.63674,4.82398,4.3574
22.5,395,0,392,0.0224683,-1.49745,0.128607,1.40184,1.37702,1.37437,-1.34775,0.513007,7.83393,3.94922,6.60445,6.92477
22.5,395,1,392,0.0219554,-1.1732,0.127654,0.972912,1.00336,1.00622,-1.36523,0.522058,6.03058,3.05923,5.21492,4.64843
22.5,395,2,392,0.0220445,-1.44294,0.127633,1.24401,1.23214,1.2389,-1.34374,0.501868,5.81061,2.76701,4.87255,4.39216
25,400,0,397,0.023182,-1.53547,0.128415,1.40918,1.38201,1.39527,-1.37476,0.504783,7.75817,4.07185,6.65471,6.9838
25,400,1,397,0.0285093,-1.14606,0.127463,1.02104,0.993494,0.984627,-1.32575,0.544223,6.0095,3.10271,5.25497,4.6784
25,400,2,397,0.0277812,-1.44173,0.127441,1.25734,1.28702,1.26435,-1.31264,0.544606,5.868,2.78527,4.92527,4.45024
27.5,405,0,402,0.0400596,-1.51586,0.128222,1.39927,1.40736,1.3927,-1.36201,0.56625,7.34165,3.93433,6.69553,7.06098
27.5,405,1,402,0.039955,-1.18555,0.127272,1.04531,1.01052,1.00466,-1.36055,0.505063,6.09021,3.24769,5.30319,4.73085
27.5,405,2,402,0.0306636,-1.39808,0.12725,1.23982,1.20465,1.20716,-1.35677,0.55545,5.74907,3.02495,4.97115,4.51754
30,410,0,407,0.0324194,-1.5158,0.12803,1.40549,1.36721,1.38474,-1.37483,0.501312,7.47358,3.99371,6.73731,7.09619
30,410,1,407,0.0426877,-1.22293,0.127082,1.02032,1.06063,1.06314,-1.3496,0.505182,6.23915,3.23992,5.34998,4.76079
30,410,2,407,0.0331313,-1.48352,0.12706,1.29575,1.3086,1.30121,-1.33065,0.536057,5.84329,2.85519,5.0201,4.56288
32.5,415,0,412,0.0259532,-1.61463,0.127838,1.47417,1.4801,1.47328,-1.33137,0.552331,7.6604,3.84021,6.77618,7.17143
32.5,415,1,412,0.0342374,-1.20591,0.126892,1.07035,1.03945,1.04095,-1.35305,0.541412,6.27838,3.344,5.39047,4.80471
32.5,415,2,412,0.0285124,-1.44528,0.12687,1.26576,1.28478,1.2665,-1.37988,0.502432,5.87816,2.90304,5.06286,4.6157
35,420,0,417,0.0410054,-1.4986,0.127647,1.38606,1.38367,1.3838,-1.32133,0.539836,7.17946,3.73149,6.79954,7.24558
35,420,1,417,0.033201,-1.24276,0.126703,1.06742,1.06421,1.06597,-1.39681,0.513531,6.01843,3.27265,5.4214,4.87592
35,420,2,417,0.0508551,-1.44112,0.12668,1.35858,1.24833,1.28564,-1.33552,0.524038,6.18659,3.09428,5.1051,4.68859
37.5,425,0,422,0.0380405,-1.53996,0.127456,1.41973,1.39815,1.38607,-1.29734,0.532715,7.26605,3.83955,6.82937,7.32505
37.5,425,1,422,0.0406001,-1.24062,0.126513,1.07495,1.07743,1.08957,-1.33326,0.550836,5.96427,3.37152,5.45831,4.92504
37.5,425,2,422,0.0418483,-1.53106,0.12649,1.3481,1.33777,1.33958,-1.41718,0.426314,6.06261,3.0645,5.14641,4.76197
40,430,0,427,0.0309183,-1.6163,0.127266,1.49417,1.50678,1.49217,-1.43,0.529871,7.55822,3.88495,6.86269,7.36263
40,430,1,427,0.0224955,-1.25017,0.126324,1.08549,1.08441,1.07022,-1.37855,0.500199,6.22244,3.20863,5.49332,4.96295
40,430,2,427,0.0290451,-1.53312,0.126301,1.3391,1.3768,1.33377,-1.43344,0.522949,5.92003,2.69952,5.19026,4.82509
42.5,435,0,432,0.0381775,-1.58046,0.127076,1.47083,1.45204,1.45362,-1.35012,0.511546,7.63458,3.89282,6.89013,7.42141
42.5,435,1,432,0.0379683,-1.26181,0.126135,1.09804,1.07406,1.08324,-1.323,0.501553,5.94631,3.36864,5.52023,5.02183
42.5,435,2,432,0.0373847,-1.51108,0.126111,1.36768,1.31442,1.34765,-1.32729,0.515225,5.90454,2.84141,5.22972,4.8738
45,440,0,437,0.0408322,-1.59661,0.126885,1.47697,1.47154,1.46884,-1.32788,0.533179,7.58438,3.99348,6.91051,7.48844
45,440,1,437,0.0370359,-1.2786,0.125947,1.13246,1.13134,1.10871,-1.29028,0.558732,6.13212,3.1642,5.54879,5.08278
45,440,2,437,0.036918,-1.56972,0.125922,1.37083,1.39711,1.37609,-1.36137,0.507941,6.05941,2.91437,5.26779,4.95051
47.5,445,0,442,0.0371239,-1.56312,0.126695,1.44558,1.44352,1.44883,-1.30678,0.531953,7.23243,3.87912,6.93369,7.53004
47.5,445,1,442,0.0345932,-1.29528,0.125759,1.15855,1.12428,1.14238,-1.30632,0.550016,6.02657,3.27748,5.57567,5.13113
47.5,445,2,442,0.0420237,-1.57091,0.125733,1.4071,1.3856,1.40142,-1.35279,0.500074,6.20544,3.208,5.30941,5.01988
50,450,0,447,0.0374052,-1.61344,0.126506,1.48819,1.49071,1.47901,-1.30619,0.556577,7.43363,3.87251,6.95192,7.57111
50,450,1,447,0.0418367,-1.28377,0.125572,1.14655,1.13026,1.10342,-1.31916,0.538683,5.91548,3.32673,5.60108,5.17697
50,450,2,447,0.0402523,-1.57525,0.125545,1.41198,1.38072,1.37084,-1.36627,0.504477,5.84879,2.77634,5.34526,5.07926
52.5,455,0,452,0.0384861,-1.59927,0.126318,1.47804,1.47033,1.47861,-1.32849,0.47731,7.23233,3.95661,6.96668,7.64709
52.5,455,1,452,0.0364815,-1.34055,0.125385,1.16934,1.17635,1.18756,-1.29249,0.509782,5.86984,3.26799,5.62547,5.22637
52.5,455,2,452,0.0308528,-1.65543,0.125358,1.46443,1.48375,1.47813,-1.35387,0.506044,6.39038,3.24158,5.38224,5.14668
55,460,0,457,0.0247915,-1.69674,0.12613,1.59307,1.58739,1.56457,-1.25144,0.563022,7.57924,3.99334,6.99128,7.66789
55,460,1,457,0.0211824,-1.31616,0.125199,1.16747,1.14173,1.12381,-1.35317,0.501107,6.21884,3.15756,5.64886,5.23918
55,460,2,457,0.0227415,-1.59012,0.125171,1.43692,1.40768,1.39517,-1.36108,0.494837,5.96514,2.79419,5.41424,5.15624
57.5,465,0,462,0.0339563,-1.6898,0.125942,1.58765,1.57411,1.57504,-1.36698,0.523066,7.51116,4.03611,7.0126,7.70485
57.5,465,1,462,0.033941,-1.364,0.125013,1.17036,1.19147,1.194,-1.32366,0.522395,6.15219,3.24994,5.67277,5.26175
